packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
46,72,,30:b1:b5:86:71:aa,70:97:41:04:3c:45,0x001b,1,6,100,5500,5,False,False,-92,,,,1743180116.383263,2025-03-28 18:41:56.383263
47,84,,30:b1:b5:86:71:aa,70:97:41:04:3c:45,0x0019,1,24,100,5500,5,False,False,-86,,,,1743180116.3838353,2025-03-28 18:41:56.383835
48,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-73,,,1051700838437,1743180116.3977003,2025-03-28 18:41:56.397700
49,390,0c:73:29:b5:e8:db,0c:73:29:b5:e8:db,ff:ff:ff:ff:ff:ff,0x0008,0,6,44,5220,5,False,False,-87,,,3053553152037,1743180121.651878,2025-03-28 18:42:01.651878
50,390,0c:73:29:b5:e8:db,0c:73:29:b5:e8:db,ff:ff:ff:ff:ff:ff,0x0008,0,6,44,5220,5,False,False,-87,,,3053553356837,1743180121.8562293,2025-03-28 18:42:01.856229
51,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-77,,,515042508837,1743180122.1823027,2025-03-28 18:42:02.182303
52,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-79,,,515042508837,1743180122.233663,2025-03-28 18:42:02.233663
53,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-78,,,515042611237,1743180122.2845306,2025-03-28 18:42:02.284531
54,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-78,,,515042611237,1743180122.3354626,2025-03-28 18:42:02.335463
55,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-77,,,515042713637,1743180122.3870816,2025-03-28 18:42:02.387082
56,80,74:9d:79:64:e5:5e,a2:8a:e4:5a:49:e1,74:9d:79:64:e5:5e,0x0024,2,6,60,5300,5,False,False,-87,,,,1743180122.9001534,2025-03-28 18:42:02.900153
57,80,74:9d:79:64:e5:5e,a2:8a:e4:5a:49:e1,74:9d:79:64:e5:5e,0x0024,2,6,60,5300,5,False,False,-88,,,,1743180122.9432414,2025-03-28 18:42:02.943241
58,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-87,,,6673631948810,1743180123.2257416,2025-03-28 18:42:03.225742
59,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-72,,,1051707699237,1743180123.259238,2025-03-28 18:42:03.259238
60,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-72,,,1051707801637,1743180123.3105462,2025-03-28 18:42:03.310546
61,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-88,,,6673632051206,1743180123.3281026,2025-03-28 18:42:03.328103
62,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-72,,,1051707801637,1743180123.3614957,2025-03-28 18:42:03.361496
63,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-72,,,1051707904037,1743180123.412649,2025-03-28 18:42:03.412649
64,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-87,,,6673632153611,1743180123.4305263,2025-03-28 18:42:03.430526
65,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-70,,,1051707904037,1743180123.464034,2025-03-28 18:42:03.464034
66,80,c0:94:ad:9e:5d:cc,0c:8e:29:5c:9a:5c,c0:94:ad:9e:5d:cc,0x0024,2,6,116,5580,5,True,False,-96,,,,1743180124.39632,2025-03-28 18:42:04.396320
67,390,0c:73:29:b5:e8:db,0c:73:29:b5:e8:db,ff:ff:ff:ff:ff:ff,0x0008,0,6,44,5220,5,False,False,-88,,,3053560320037,1743180128.8199847,2025-03-28 18:42:08.819985
68,390,0c:73:29:b5:e8:db,0c:73:29:b5:e8:db,ff:ff:ff:ff:ff:ff,0x0008,0,6,44,5220,5,False,False,-89,,,3053560422437,1743180128.9221046,2025-03-28 18:42:08.922105
69,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-80,,,515049574437,1743180129.2479017,2025-03-28 18:42:09.247902
70,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-80,,,515049574437,1743180129.299212,2025-03-28 18:42:09.299212
71,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-79,,,515049676837,1743180129.3506103,2025-03-28 18:42:09.350610
