packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
72,80,34:36:54:d4:79:03,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0024,2,24,1,2412,6,False,False,-72,,,,1742833058.173557,2025-03-24 18:17:38.173557
73,66,,,06:09:51:6a:a9:b3,0x001d,1,24,1,2412,6,False,False,-27,,,,1742833058.17358,2025-03-24 18:17:38.173580
74,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-88,,,4244685192,1742833058.180461,2025-03-24 18:17:38.180461
75,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400081203615,1742833058.250794,2025-03-24 18:17:38.250794
76,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-89,,,4244789309,1742833058.284774,2025-03-24 18:17:38.284774
77,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400081308832,1742833058.35575,2025-03-24 18:17:38.355750
78,109,ff:ff:ff:ff:ff:ff,b8:b7:f1:ca:1a:aa,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,-91,,,,1742833058.370926,2025-03-24 18:17:38.370926
79,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-87,,,4244889998,1742833058.385509,2025-03-24 18:17:38.385509
80,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400081408425,1742833058.455463,2025-03-24 18:17:38.455463
81,66,,,f6:16:de:43:81:3d,0x001d,1,1,1,2412,4,False,False,-87,,,,1742833058.465778,2025-03-24 18:17:38.465778
82,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-88,,,4244993380,1742833058.488892,2025-03-24 18:17:38.488892
83,66,,,f6:16:de:43:81:3d,0x001d,1,1,1,2412,4,False,False,-88,,,,1742833058.515973,2025-03-24 18:17:38.515973
84,66,,,26:29:06:53:94:66,0x001d,1,1,1,2412,4,False,False,-88,,,,1742833058.525726,2025-03-24 18:17:38.525726
85,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400081512338,1742833058.559518,2025-03-24 18:17:38.559518
86,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-86,,,4245094983,1742833058.590247,2025-03-24 18:17:38.590247
87,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400081613202,1742833058.660118,2025-03-24 18:17:38.660118
88,273,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-87,,,4245197196,1742833058.692689,2025-03-24 18:17:38.692689
89,66,,,f6:16:de:43:81:3d,0x001d,1,1,1,2412,4,False,False,-88,,,,1742833058.715391,2025-03-24 18:17:38.715391
90,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400081715619,1742833058.762743,2025-03-24 18:17:38.762743
91,82,34:36:54:d4:79:03,34:c9:3d:d1:0a:33,34:36:54:d4:79:03,0x002c,2,6,1,2412,6,False,False,-81,,,,1742833058.763548,2025-03-24 18:17:38.763548
92,66,,,34:c9:3d:d1:0a:33,0x001d,1,6,1,2412,6,False,False,-27,,,,1742833058.763573,2025-03-24 18:17:38.763573
93,72,,34:36:54:d4:79:03,34:c9:3d:d1:0a:33,0x001b,1,24,1,2412,6,False,False,-27,,,,1742833058.763576,2025-03-24 18:17:38.763576
94,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-61,,,,1742833058.763578,2025-03-24 18:17:38.763578
95,186,34:36:54:d4:79:03,34:36:54:d4:79:03,34:c9:3d:d1:0a:33,0x0028,2,130,1,2412,7,False,False,-30,,15,,1742833058.763582,2025-03-24 18:17:38.763582
96,84,,34:c9:3d:d1:0a:33,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-61,,,,1742833058.763586,2025-03-24 18:17:38.763586
97,76,,34:36:54:d4:79:03,34:c9:3d:d1:0a:33,0x0018,1,1,1,2412,4,False,False,-25,,,,1742833058.763978,2025-03-24 18:17:38.763978
98,84,,34:c9:3d:d1:0a:33,34:36:54:d4:79:03,0x0019,1,1,1,2412,4,False,False,-62,,,,1742833058.764905,2025-03-24 18:17:38.764905
99,76,,34:36:54:d4:79:03,34:c9:3d:d1:0a:33,0x0018,1,1,1,2412,4,False,False,-25,,,,1742833058.764924,2025-03-24 18:17:38.764924
100,84,,34:c9:3d:d1:0a:33,34:36:54:d4:79:03,0x0019,1,1,1,2412,4,False,False,-62,,,,1742833058.765596,2025-03-24 18:17:38.765596
101,72,,34:c9:3d:d1:0a:33,34:36:54:d4:79:03,0x001b,1,24,1,2412,6,False,False,-82,,,,1742833058.765613,2025-03-24 18:17:38.765613
102,66,,,34:c9:3d:d1:0a:33,0x001c,1,24,1,2412,6,False,False,-27,,,,1742833058.765615,2025-03-24 18:17:38.765615
103,170,34:36:54:d4:79:03,34:c9:3d:d1:0a:33,34:36:54:d4:79:03,0x0028,2,65,1,2412,7,False,False,-62,,7,,1742833058.765619,2025-03-24 18:17:38.765619
104,66,,,34:c9:3d:d1:0a:33,0x001d,1,24,1,2412,6,False,False,-27,,,,1742833058.765626,2025-03-24 18:17:38.765626
